"extras_ph_route_planner","Routenplaner","Route planner","Asystent plánování tras - Routenplaner",,"Asystent planowania tras","Planificator rută",
"extras_ph_route_planner_addressbook","Dieses Service steht Ihnen für zahlreiche europäische Länder zur Verfügung. Diese Funktion ist übrigens auch bereits direkt in das Adressbuch integriert!","This service is available for numerous European countries. Worth mentioning that this function is already integrated into the addressbook!","Tento systém je k dispozici pro četné evropské země. Tato funkce je také přímo zabudována v adresáři.",,"Serwis ten obejmuje swym zasięgiem wiele krajów Europy. Funkcja ta jest ponadto zintegrowana również z książką adresową!","Acest serviciu poate fi beneficiat de multe ţări din europa. Această funcţiune este integrată şi poate fi accesată direct din agendă!",
"extras_ph_route_planner_addressbook_link","zum Adressbuch ...","To the addressbook...","do adresáře ...",,"do książki adresowej…","Salt la Agendă ...",
"extras_ph_route_planner_description","Den schnellsten und kuerzesten Weg von A nach B anzeigen lassen (funktioniert Europaweit!)","Display the shortest way from A to B(works anywhere in Europe!)","Zobrazit nejrychlejší a nejkratší trasu z A do B (funguje v celé Evropě).",,"Wyświetlanie najszybszej i najkrótszej drogi z punktu A do punktu B (funkcjonuje na obszarze całej Europy)","Arată cel mai rapid şi mai scrut drum de la A la B (funcţionează in toată Europa!)",
"extras_ph_route_planner_from","Route berechnen von","Calculate route from..","Propočítat trasu z",,"Oblicz trasę z","Calculare rută de la",
"extras_ph_route_planner_intro","Unser Routenplanner hilft Ihnen den schnellsten und einfachsten Weg von A nach B zu finden!","Our route planner assists you in finden the quickest and most convenient way from A to B!","Náš plánovač tras Vám pomůže najít tu nejkratší a nejrychlejší trasu z A do B.",,"Asystent planowania tras umożliwia znalezienie najszybszej i najprostszej drogi z punktu A do punktu B!","Planificatorul de rute vă ajută să găsiţi rapid drumul de la A la B!",
"extras_ph_route_planner_map24","Zur Erbringung dieser Dienstleistung erfolgt eine Daten&uuml;bergabe an unseren Partner map24.","To enable this service, data will be transferred to our affiliate map24.","Zajištění této služby zprostředkovává náš partner map24.",,"W celu wykonania tej usługi wykonywana jest transmisja danych do naszego partnera – map24.","Pentru efectuarea acestei cerinţe vor fi trimise datele partenerului nostru map24.",
"extras_ph_route_planner_show_route","Route jetzt anzeigen","Sdisplay route now","Zobraz trasu",,"Pokaż trasę","Arată acum ruta ",
"extras_ph_route_planner_show_this_location","Nur diesen Standort anzeigen","Only display this location ","Zobrazit pouze toto místo",,"Pokaż tylko to miejsce","Arată numai acest areal",
"extras_ph_route_planner_to","nach","To","do",,"do","spre",
"extras_ph_shorturl_copy_to_clipboard","In die Zwischenablage kopieren","Copy to clipboard","Kopírovat do schránky",,"Skopiuj do Schowka","Copiere în  Clipboard",
"extras_ph_shorturl_intro1","Nie mehr zerstückelte Links in E-Mails, Foren und Newsgroups!","Never any link fragments again in emails, forums and newsgroups!",,,"Nigdy więcej uszkodzonych linków w wiadomościach e-mail, na forach i grupach dyskusyjnych!","Niciodată bucăţele de: Link-uri in E-Mail, Forum-uri şi grupe de informaţii!",
"extras_ph_shorturl_intro2","Mit dieser Funktion können Sie in Newsgroups, E-Mails oder Onlineforen lange Internet-Adressen
sicher einfügen. ShortURL generiert eine kurze Adressen -
ruft man diese auf wird man automatisch an die von Ihnen angegebene ursprüngliche Adresse
weiterverbunden.","With this function you can safely paste in long Internet addresses in newsgroups, emails or online forums . ShortURL generates short addresses - after accessing one is being automatically connected to the original address specified by you originally.
",,,"Dzięki tej funkcji mogą Państwo bezpiecznie wprowadzać do grup dyskusyjnych, wiadomości e-mail lub for internetowych długie adresy internetowe. ShortURL generuje krótkie adresy, a po ich wywołaniu następuje automatycznie przekierowanie na adres pierwotny.","Această funcţiune vă dă posibilitatea de a insera grupuri de informaţii, E-Mail-uri, forumuri online şi de adrese lungi (Link-uri) de internet. ShortURL generează informaţia întro adresă scurtă - apăsând pe acest ShortURL veţi fi automat conectat cu adresa introdusă de dvs.",
"extras_ph_shorturl_is_in_clipboard","Der Link befindet sich nun in Ihrer Zwischenablage!","The link is now in your clipboard!","Link se nyní nachází ve Vaší schránce.",,"Link znajduje się teraz w Schowku!","Link-ul se găseşte în Clipboard-ul dvs.!",
"extras_ph_shorturl_no_address","Sie haben keine Adresse eingegeben!","You haven´t entered any address!","Nebyla zadána žádná adresa.",,"Nie wprowadzono adresu!","Nu aţi introdus nici o adresă!",
"extras_ph_shorturl_original_link","Orginaler Link","Original link","Originální Link",,"Oryginalny link","Link original",
"extras_ph_shorturl_try","Ausprobieren","Try",,,"Wypróbuj","Încercare",
"extras_ph_subscr_sources","Abonnierte Newsquellen","Subscribed news sources","Předplacené informační zdroje",,"Subskrybowane źródła wiadomości","Abonare sursă de informaţii",
"extras_ph_weather_description","Das aktuelle Wetter und die dazugehörige Vorschau",,,,,"Vremea curentă şi descrierea",
"extras_transl_ph_result","Ihr angegebener Text wurde übersetzt und ergab folgendes Ergebnis:","Your specified text has been translated and leads to the following result:","Váš zadaný text byl přeložen a poskytuje následující výsledek","Váš zadaný text byl preložen a poskytuje následující výsledek","Podany przez ciebie tekst został przetłumaczony i dał następujący wynik","Textul introdus a fost tradus şi acesta este rezultatul:",
"extras_wd_downloads","Downloads","Downloads","Downloads - stažení",,"Pliki do pobrania","Downloads",
"extras_wd_downloads_description","Wichtige Tools zum Download.","Important download tools","Důležité nástroje InBox.cc Tools ke stažení",,"Ważne narzędzia InBox.cc do pobrania.","Importante InBox.cc tool-uri pentru download.",
"extras_wd_postcode","PLZ","Postcode","PSČ","PSC","Kod pocztowy","Cod poştal",
"extras_wd_shorturl","ShortURL","Short URL","ShortURL",,"ShortURL","ShortURL
",
"extras_wd_startaddress","Startadressse","Start address","startovací adresa","startovací adresa","Adres startowy","Adresă start ",
"extras_wd_translation","Übersetzung","Translation","překlad","preklad","Tłumaczenie","Traducere",
"extras_wd_weather_forecast","Vorschau",,,,,"Vedere",
"extras_wd_weather_humidity","Feuchtigkeit",,,,,"Umiditate",
"extras_wd_weather_temperature","Temperatur",,,,,"Temperatură",
"extras_wd_weather_temperature_feelslike","Gefühlt",,,,,"Umplut",
"extras_wd_weather_wind","Wind",,,,,"Vânt",
"fav_ph_action","Gemeinsame Aktion für alle ausgewählten Lesezeichen","Joint action for all selected bookmarks","společná akce pro všechny vybrané záložky","spolecná akce pro všechny vybrané záložky","Wspólna akcja dla wybranych znaków  przestankowych/zakładek","Selectarea de acţiuni asemănătoare pentru toate semnele de carte",
"fav_ph_all_folders","alle Ordner","All folders","všechny složky","všechny složky","Wszystkie foldery","Toate dosarele",
"fav_ph_create_new_item_now","Jetzt einen neuen Eintrag erstellen","Create new entry now",,,"Wprowadź teraz nowy wpis","Crează acum o nouă menţiune",
"fav_ph_current_folder","aktuellen Ordner","Current folder","aktuální složka","aktuální složka","Foldery aktualne","Dosare actuale",
"fav_ph_goto_standard_view","Jetzt zur Standard-Ansicht mit ALLEN Bookmarks wechseln","Move to standard view including all bookmarks",,,"Przejdź teraz do widoku standardowego ze WSZYSTKIMI zakładkami","Schimbaţi acum spre -vederea tuturor Bookmark-urilor",
"fav_ph_hint_no_preview_in_ssl_mode","Hinweis: Das Seitenvorschau-Feature steht im sicheren HTTPS-Modus nicht zur Verfügung!","Advice: the page preview feature is not available in secure HTTPS mode!",,,"Wskazówka: Funkcja przeglądu strony jest niedostępna w bezpiecznym trybie HTTPS!","Indicaţie: Caracteristica -Examinarea pagini înaintea imprimării nu poate fi vizualizată în modul HTTPS!",
"fav_ph_html_export","HTML Export","HTML export","HTML export","HTML export","HTML Eksport","HTML export",
"fav_ph_ie_sync","IE - Favoriten Abgleich","IE favourite synchronisation","IE - synchronizace favoritu","IE - synchronizace favoritu","IE – wyrównanie faworytów","IE- Sincronizare preferinţe",
"fav_ph_last_visited_items","Zuletzt besuchte Einträge","Last visited entries",,,"Ostatnio odwiedzane wpisy","Ultimele menţiuni vizitate",
"fav_ph_most_visitied","Meistbesuchte Lesezeichen","Most visited bookmarks","nejvíce navštěvovaná záložka","nejvíce navštevovaná záložka","Najczęściej odwiedzane zakładki","Cele mai vizitate bookmarks",
"fav_ph_newest_items","Neueste Einträge","Newest entries",,,"Najnowsze wpisy","Cea mai nouă menţiune",
"fav_ph_new_bookmark","Neues Lesezeichen anlegen","Create new bookmark","vytvořit novou záložku","vytvorit novou záložku","Umieść nową zakładkę ","Creerea unui nou bookmark",
"fav_ph_preview_function","Vorschaufenster - klicken Sie oben bitte neben einem Link auf ""Vorschau""","Preview window- please click above on „preview“ next to a link",,,"Okno przeglądu - proszę kliknąć na górze obok linku na ""Przegląd""","Vizualizare aspect pagină -clic sus lângă un Link pe ""Vizualizare aspect pagină""",
"fav_ph_standard_folder","oberste Ebene (Standard)","Highest level (standard)",,,"najwyższy poziom (standard)","nivelul de sus (Standard)",
"fav_ph_top_fav_converter_download","Favoriten Abgleich (Internet Explorer)","Favourite synchronisation (Internet Explorer)",,,,"Aliniament preferinţe (Internet Explorer)",
"fav_wd_action","Aktion","Action","akce","akce","Akcja","Acţiune",
"fav_wd_action_delete","Löschen","Delete","smazat","smazat","Usuń","Şterge",
"fav_wd_action_move","Verschieben","Move","posunout","posunout","Przesuń","Mutare",
"fav_wd_folder","Ordner","Folder","složka","složka","Folder","Dosar",
"fav_wd_items","Einträge","Entries","záznamy","záznamy","Wpisy","Menţiuni",
"fav_wd_overview","Übersicht","Overview","přehled","prehled","Przegląd","Vedere",
"fav_wd_title","Titel","Title","název","název","Tytuł","Titlu",
"fav_wd_visits","Besuche","Visits","návštevy","návštevy","odwiedziny","Vizitări",
"fax_ph_already_faxde_account","Sie haben bereits ein Konto bei Fax.de?","You already have an account with Fax.de?",,,"Czy masz już konto w Fax.de?","Aveţi deja un cont la Fax.de?",
"fax_ph_already_faxde_account_description","Wenn Sie bereits über ein fax.de Konto verfügen geben Sie bitte hier die Zugangsdaten ein.","Will you please enter your access data here, if you already have an account with Fax.de.",,,,"Dacă beneficiaţi deja de un cont la fax.de, vă rugăm să introduceţi codul de acces.",
"fax_ph_compose_attachments_valid","Gültig: Microsoft Word (DOC); Adobe PDF (PDF)","valid:Microsoft Word(DOC);Adobe PDF (PDF)",,,"Aktualne: Microsoft Word (DOC); Adobe PDF (PDF)","Valabil: Microsoft Word (DOC); Adobe PDF (PDF)",
"fax_ph_compose_current_logo","Aktuelles Logo","Current logo",,,"Aktualne logo","Logo actual",
"fax_ph_compose_current_signature","Aktuelle Fax-Signatur","Current fax signature",,,"Aktualna sygnatura faksu","Semnătura -fax actuală",
"fax_ph_compose_enter_number_or_Adrb","Möchten Sie die Empfaengernummer manuell eingeben oder eine aus dem Adressbuch wählen?","Would you like to manually enter the receiver´s number or select it from the addressbook?",,,"Czy chcą Państwo wprowadzić numer odbiorcy ręcznie czy z książki adresowej?","Doriţi să intreduceţi numărul de fax al destinatarului manual sau să-l selectaţi din agendă?",
"fax_ph_compose_enter_number_or_Adrb_manual","manuell eingeben","Enter manually",,,"Wprowadź ręcznie","introducere manuală",
"fax_ph_compose_flag_fyi","zur Kenntnis","For your information",,,"do wiadomości","la cunoştintă",
"fax_ph_compose_flag_response","zur Stellungnahme","Response",,,"proszę o komentarz","spre relatare",
"fax_ph_compose_flag_todo","zur Erledigung","To do",,,"do załatwienia","de rezolvat ",
"fax_ph_compose_flag_urgent","Dringend","Urgent",,,"pilne","Urgent",
"fax_ph_compose_new_fax","Neues Fax erstellen","Create new fax",,,"Utwórz nowy faks","Creerea unui nou Fax",
"fax_ph_compose_sender_logo","Absender/Logo","sender/logo",,,"Nadawca/logo","Expeditor/Logo",
"fax_ph_compose_send_now","Fax nun abschicken ...","Send fax now...",,,"Wyślij faks teraz ...","Trimite acum fax-ul ...",
"fax_ph_depends_on_plan","abhängig vom Tarif","Depending on tariff",,,"w zależności od taryfy","depinde de tarif",
"fax_ph_error_job_not_accepted","Error - Auftrag nicht angenommen","Error- order not accepted",,,"Błąd - nie przyjęto zlecenia","Eroare - Comanda nu a fost acceptată",
"fax_ph_fax_de_Account_enabled","Fax.de Zugang aktiviert","Fax.de access activated",,,"Aktywowano dostęp do Fax.de","Fax.de acces activ",
"fax_ph_fax_outbox","Faxausgang","Fax outbox",,,"Wyjście faksu","Ieşire Fax",
"fax_ph_fax_sending","Fax-Versand","Sent faxes ",,,"Wysyłka faksu","Trimitere -Fax",
"fax_ph_fax_sent","Fax erfolgreich verschickt","Fax sent successfully",,,"Faks został pomyślnie wysłany","Fax-ul a fost expediat cu secces",
"fax_ph_fax_sent_given_to_Transporter","Das Fax wurde erfolgreich an den Fax-Versanddienst übergeben.","The fax has been successfully transferred to the fax delivery service. ",,,"Faks został pomyślnie przekazany do Biura Wysyłki Faksów","Fax-ul a fost trimis cu succes spre serviciul de expediere. ",
"fax_ph_fax_transmission_description","Direkt vom Browser ohne Software","Directly from the browser with no software needed",,,"Bezpośrednio z przeglądarki bez oprogramowania","Direct de la Browser fără Software",
"fax_ph_get_free_number","Jetzt kostenlose Faxempfangs-Rufnummer aktivieren","Activate free fax receiving number now",,,"Aktywuj teraz bezpłatny numer odbiorcy faxu","Activaţi acum gratuit numărul de recepţionare fax!",
"fax_ph_get_free_number_description","Sie erhalten sofort eine kostenlose Fax-Empfangsrufnummer mit Hambuger (D) Vorwahl (040) und können mit dem Punktesystem sofort komfortabel Faxe in alle Welt direkt vom Browser aus senden.","You immediately receive a free fax-receipt phone number with a Hamburg (D) area code (040) and will be able to immediately and comfortably send faxes worldwide directly from the browser with the point system.
",,,"Otrzymasz zaraz bezpłatny numer odbiorcy faxu z Hamburga (D) kierunkowy (040) i możesz w systemie punktowym natychmiast wysyłac faxy prosto z Browser po całym świecie.","Veţi primi un număr de primire fax cu Bucureşti (RO) prefix (21) şi puteţi trimite faxuri, cu sistemul de puncte de pe browser-ul InBox.cc, confortabil în întreaga lume. ",
"fax_ph_get_free_number_done","Die kostenlose Faxempfangsrufnummer wird jetzt eingerichtet und steht Ihnen in wenigen Augenblicken zur Verfügung. Sie erhalten per E-Mail eine kurze Benachrichtigung wenn die Einrichtung abgeschlossen ist.

Bitte vergessen Sie nicht Ihr Punktekonto im Administrations-Tool aufzuladen.","The free fax receipt phone number is now being set up and will be made available to you in a few moments. You will receive a short notification by email when the setup is finished. Please, do not forget to charge your points account in the administration-tool.
",,,"Bezpłatny numer odbiorcy faxu jest urządzany i będzie za kilka chwil do Państwa dyspozycji. Potwierdzenie zostanie wysłane e-mailem. Proszę nie zapomnieć o uzupełnieniu konta punktowego w Administrations-Tool ","Numărul de fax va fi creat şi vă stă in câteva clipe la dispoziţie. Veţi primi un E-Mail când numărul va fi disponibil. Vă rugăm să nu uitaţi a vă încărca contul cu puncte în tool-ul de administrator.",
"fax_ph_goto_sent_folder","Die gesendeten Fax-Nachrichten finden Sie im Ordner ""Gesendet"" im E-Mail Bereich.","You will find the sent fax messages in the email area´s „sent“ folder. ",,,"Wysłane wiadomości faksowe znajdą Państwo w folderze ""Wysłane"" w aplikacji poczty elektronicznej.","Fax-urile trimise le găsiţi în dosarul ""Trimis"" în domeniu E-Mail.",
"fax_ph_last_jobs","Zuletzt erledigte Aufträge","Last jobs finished",,,"Ostatnio załatwione zlecenia","Ultimele dispoziţii terminate",
"fax_ph_last_updates_items","Zuletzt upgedatete Einträge","Last entries updated",,,"Ostatnio zaktualizowane wpisy","Ultimul update al menţiunilor",
"fax_ph_not_included_in_private_tarif","NICHT enthalten im ""Private""-Tarif","NOT included in the „Private“ tariff",,,"Taryfa ""Private"" tego NIE obejmuje","NU este cuprins în tariful -""personal""",
"fax_ph_outbound","Faxausgang","Fax outbox",,,"Wyjście faksu","Fax ieşire",
"fax_ph_outbound_Description","Hier sehen Sie eine Liste der erledigten und offenen Fax/SMS-Aufträge."," Here you see a list of the finished and open fax / SMS orders.",,,"Tu widzą Państwo listę załatwionych i otwartych zleceń faksowych/SMS.","Aici se poate viziona lista cu comenzile încheiate sau în lucru pentru Fax/SMS.",
"fax_ph_progress_working","in Arbeit","Work in process",,,"w opracowaniu","în lucru",
"fax_ph_recipient_number","Rufnummer","Phone number",,,"Numer telefonu","Număr telefon",
"fax_ph_recipient_number_sample","Format: +[Landesvorwahl] [Vorwahl ohne 0] [Nummer]; z.B. +49 8020 12343","format:+(country code)(area code without 0)(number): for example:+49 8020 12343",,,"Format: +[prefiks kraju] [nr kierunkowy bez 0] [numer]; np. +49 8020 12343","Format: + [cod ţară][cod oraş fără 0][număr]; de ex. +49 8020 12343",
"fax_ph_recipient_subject","Empfänger/Betreff","recipient/subject",,,"Odbiorca/dotyczy","Destinatar/Subiect",
"fax_ph_Send_fax","Fax versenden","Send fax",,,"Wyślij faks","Expediere Fax",
"fax_ph_sent_faxes","Gesendete Nachrichten","Sent messages",,,"Wiadomości wysłane","Mesaj expediat",
"fax_ph_show_outbound","Faxausgang anzeigen","Show fax outbox",,,"Pokaż wyjście faksu","Arată ieşire fax",
"fax_ph_show_Status_of_fax","Status der Nachricht anzeigen ...","Show message status ...",,,"Pokaż status wiadomości ...","Arată stare mesaj ...",
"fax_ph_station_id","Absenderkennung","sender´s id",,,,"Recunoaşterea expeditorului",
"fax_ph_station_id_leave_empty","Leer = Ihre Faxnummer wird eingeblendet","Empty= your fax number will be displayed",,,,"Gol = Numărul dvs. de fax va apărea",
"fax_ph_waiting_jobs","Wartende Aufträge","Waiting order",,,"Zlecenia oczekujące","Misiune în aşteptare",
"fax_ph_your_fax_number","Ihre Fax-Rufnummer","Your fax number",,,"Państwa numer faksu","Numărul dvs. de fax",
"forum_ph_alert_has_been_created_description","Sie werden nun bei neuen Einträgen zu dieser Diskussion benachrichtigt.",,,,,"Veţi fi anunţat la scrierea noilor menţiuni pentru această discuţie.",
"forum_ph_alert_on_new_postings_to_this_thread","Bei neuen Beiträgen zu diesem Thema benachrichten",,,,,"La noi contribuţii pentru această temă,doresc atenţionare pe mail.",
"forum_ph_compose_new_answer","Neue Antwort verfassen ...",,,,,"Crează un nou răspuns ...",
"forum_ph_compose_new_article","Jetzt einen neuen Beitrag verfassen ...",,,,,"Crează o nouă contribuţie ...",
"forum_ph_current_postings","Aktuelle Postings","Current postings",,,,"Mesaje actuale",
"forum_ph_delete_article","Diesen Beitrag löschen",,,,,"Şterge această concluzie",
"forum_ph_edit_article","Diesen Beitrag editieren",,,,,"Editează această concluzie",
"forum_ph_foren_welcome_intro","Hier sehen Sie eine Liste der eingerichteten Foren und die aktuellsten Beiträge.",,,,,"Aici vedeţi o listă cu forumurile şi contribuţiile actuale.",
"forum_ph_last_postings","Aktuelle Beiträge",,,,,"Contribuţii actuale",
"forum_ph_my_articles","Meine Beiträge",,,,,"Contribuţiile mele",
"forum_ph_posting_last_edited","Dieser Eintrag wurde vom User zuletzt geändert:",,,,,"Această menţiune a fost modificată de utilizator ultima oară:",
"forum_ph_save_article","Artikel speichern ...",,,,,"Memorare articol ...",
"forum_wd_foren","Foren",,,,,"Forumuri",
"forum_wd_forum","Forum",,,,,"Forum",
"forum_wd_thread","Beitrag",,,,,"Contribuţie",
"help_ph_feedback_form","Feedback-Formular","Feedback form","formulář Feedback - zpětná vazba","formulár Feedback - zpetná vazba","Formularz - Feedback","Formular -Feedback",
"help_wd_guides","Guides","Guides","průvodce","pruvodce","Poradniki","Ghid",
"hpg_html_headers_description","InBox.cc der Web-Organizer für Gruppen (Informationsmanagement), die mobile Kommunikation (eMail, Fax, SMS, Messenger) und Organisation (Adressbuch, Dateien, Kalender, Aufgaben, Favoriten)","InBox.cc the Web-Organizer for groups (information management) ,mobile communication (email, fax, SMS, messenger) and organization (address book, files, calendars, tasks, favorites)
","InBox.cc weborganizátor pro skupiny (informační management), mobilní komunikaci (e-mail, fax, SMS, Messenger) a organizaci (adresář, data, kalendář, úkoly, oblíbené)","InBox.cc weborganizátor pro skupiny (informacní management), mobilní komunikaci (e-mail, fax, SMS, Messenger) a organizaci (adresár, data, kalendár, úkoly, oblíbené)","InBox.cc  Web-organizator dla grup (zarządzanie informacją), mobilna komunikacja (e-mail, fax, SMS,komunikator)i organizacja (książka adresowa, baza danych, kalendarz, zadania)","InBox.cc organizatorul web pentru grupe (Management de informare), comunicarea mobilă (E-Mail,Fax,SMS,Messenger) şi organizare (Agendă,Fişiere,Calendar,Activităţi,Preferinţe)",
"hpg_html_headers_keywords","CRM,Customer Relationship Managment,Kundenverwaltung,Organizer, Internet Organizer, kostenloser Organizer, Terminplaner, Infomanager, Internet Kalender, Webkalender, Online Kalender, Internetoffice,
privater Organiser, digitales Buero, Datenverwaltung, profilgesteuerter Organizer, palm, pda, backup, Terminassistent,
Linkverwaltung, virtueller Schreibtisch, persoenlicher Manager, Adressenverwaltung, digitale Verwaltung, virtuelles Buero, Events, Bookmarks, 
virtueller Schreibtisch, Termine, Organisation, Ablage, organisieren, planen,OutlookSync,Outlook,
Daten, Tools, groupware, Daten, teilen, gemeinsam zugreifen, Forum, Virenschutz, Spamschutz, zugreifen, groupware, email, e-mail,
calendar, collaboration, messaging, messenger, tasks, security, bookmark, favorites, sms, mobile, wap, pda, access,
group, storage, ftp, POP3, werbefrei, SSL-verschluesselt,
Terminmanagement, Kontaktmanagement, Mobiler Zugriff, Datenuebername, Synchronisierung, s/mime,anti-spam, anti-virus, mailingliste, imap4-zugriff, webmail, web-office","Organizer, Internet Organizer, free Organizer, appointment planner, info manager, Internet calendar, web calendar, Online calendar, Internet office, private Organiser, digital office, data administration, profile-controled Organizer, palm, pda, backup, appointment wizard, link management, virtual desk, personal manager, address management, digital management, virtual office, events, bookmarks, virtual desk, appointments, organization, filing, organize ,plan, OutlookSync, Outlook,data,tools,groupware,data, sharing, joint access, forum, virus protection,spam protection access, groupware, e-mail, e-mail, calendar, collaboration, messaging, messenger, tasks, security, bookmark, favorites, sms, mobile, wap, pda, access, group, storage, ftp, POP3, ad-free, SSL-encrypting, appointment management, contact management, mobile access, Datenuebername, synchronization, s/mime, anti-spam, anti-virus, mailinglist, imap4-access, webmail, web office
","organizátor,internetový organizátor, bezplatný organizátor, plánovač termínů, infomanager, internetový kalendář, webový kalendář, online kalendář, internetová kancelář, soukromý organizér, digitální kancelář, správa dat, řízení profilu, palm, pda, backup, termínový asistent, správa linku, správa připojení, virtuální psací stůl, osobní manager, správa adres, adresář, digitální správa, virtuální kancelář, plánování akcí, záložky, virtuální psací stůl, termíny, organizace, úložný prostor, organizování, plánování, synchronizace Outlook Sync, Outlook, data, nástroje, skupiny produktů, částecný, plný přístup k datům, fórum, virová ochrana, spam ochrana, přímý přístup, skupiny produktů, email, e-mail, kalendář, spolupráce, zasílání krátkých zpráv-messaging, meesenger, úkoly, bezpečnost, záložky, favorité, sms, mobil, wap, pda, přístup, hesla, skupiny, odkládání, ftp, POP3, bez reklam, SSL zabezpečení, management termínů, management kontaktů, mobilní přístup, převzetí dat, synchronizace, s/mime, anti-spam, seznam e-mailu, imap4-přístup, webmail, web-office","organizátor,internetový organizátor, bezplatný organizátor, plánovac termínu, infomanager, internetový kalendár, webový kalendár, onlline kalendár, internetová kancelár, soukromý organizér, digitální kancelár, správa dat, rízení profilu, palm, pda, backup, termínový asistent, správa linku, správa pripojení, virtuální psací stul, osobní manager, správa adres, adresár, digitální správa, virtuální kancelár, plánování akcí, záložky, virtuální psací stul, termíny, organizace, úložný prostor, organizování, plánování, synchronizace Outlook Sync, Outlook, data, nástroje, skupiny produktu, cástecný, plný prístu k datum, formu, virová ochrana, spam ochrana, prímý prístup, skupiny produktu, email, e-mail, kalendár, spolupráce, zasílání krátkých zpráv-messaging, meesenger, úkoly, bezpecnost, záložky, favorité, sms, mobil, wap, pda, prístup, hesla, skupiny, odkládání, ftp, POP3, bez reklam, SSL zabezpecení, management termínu, management kontaktu, mobilní prístup, prevzetí dat, synchronizace, s/mime, anti-spam, seznam e-mailu, imap4-prístup, webmail, web-office","Organizator, internet, organizator internet,  bezplatny organizator, Terminarz, Infomanager, kalendarz internetowy, kalendarz Web, kalendarz Online, biuro Internet, prywatny organizator, biuro  cyfrowe , Datenverwaltung, kierowany profilem organizator, palm, pda, backup, asystent terminowy,  zarządzanie linkami, biurko wirtualne , osobisty manager, zarządzanie adresami, zarządzane cyfrowe,  biuro wirtualne,  spotkania, Bookmarks, biurko wirtualne, Terminy, Organizacja, skład, organizować, planować ,OutlookSync,Outlook, Dane, narzędzia, towary grupowe, Dane, dzielić, razem ingerować, Forum, ochrona przed wirusami,ochrona  Spam, dotrzeć, towar grupowy, e-mail, e-mail, kalendarz, współpraca, komunikowanie, informator, tasks, security, bookmark, favorites, sms, mobile, wap, pda, access, group, storage, ftp, POP3, bez reklamy, SSL-zakodowany, Terminmanagement, Kontaktmanagement, Mobiler Zugriff, Datenuebername, Synchronisierung, s/mime,anti-spam, anti-virus, mailingliste, imap4-zugriff, webmail, web-office","Organizator,Organizator internet, Organizator gratuit, Planificator activităţi, Coordonator informaţii,  Calendar internet, Calendar web, Calendar online, Internetoffice, Organizator personal, Birou digital, Administrator date, Organizator selectat după profil, palm, pda, backup, Asistent activităţi, Administrator Link-uri, Biroul virtual , Manager-ul personal, Administrator adrese, Administratorul digital,Acţiuni, Bookmarks, Activităţi, Organizare, Depozit,a organiza, a plănui,OutlookSinc,Outlook, Date, Tool-uri, groupware, date, a împărţi, acces comun, forum, protecţie împortriva viruşilor, Protecţie Spam, groupware, E-Mail,calendar, colaborare, messaging, messenger, tasks, security, bookmark, preferinţe, sms, gsm, wap, pda, access, group, storage, ftp, POP3, fără reclamă, SSL-codare, Management pentru activităţi,Management pentru contacte,Accesare mobilă, Preluare date, Sincronizare, s/mime,anti-spam, anti-virus, mailingliste, accesare-imap4, webmail, web-office",
"hpg_img_logo_alt_text","InBox.cc Startseite","InBox.cc Homepage","InBox.cc úvodní strana","InBox.cc úvodní strana","InBox.cc strona startowa","Pagina principală InBox.cc",
"hpg_ph_about_the_company","Informationen zum Unternehmen","Information about the company","firemní informace","firemní informace","Informacje o firmie","Informaţii despre firmă",
"hpg_ph_acrobat_needed","Sie benoetigen zur Anzeige den kostenlosen Acrobat Reader.","You will need the Acrobat Reader for demonstration","K zobrazení je vyžadován volně dostupný Acrobat Reader.","k zobrazení je vyžadován volne dostupný Acroba Reader","W celu wskazania potrzebujesz bezpłatny  Acrobat Reader.","Pentru vizionare aveţi nevoie de Acrobate Reader-ul gratuit.",
"hpg_ph_already_partner_login","Schon Partner? Jetzt in das Admintool einloggen","Partner already? Login to admintool now","Jste již partnerem? Nyní se přihlásit do administrativy","Jste již partnerem? Nyní se prihlásit do administrativy","Już partner? Zaloguj się do  Admintool","Deja partener ? Log-eazăte acum în tool-ul de administrator.",
"hpg_ph_area_country_zipcode","Bereich (Land/PLZ):","Area (country/postcode)","Oblast (země/PSČ)","Oblast (zeme/PSC)","zakres (kraj/kod pocztowy):","Zonă (Ţară/cod poştal):",
"hpg_ph_banner_top_1","30 Tage","30 days","30 dní",,"30 dni","30 de zile",
"hpg_ph_banner_top_2","kostenlos testen","Free trial ","bezplatně otestovat",,"bezpłatnie testuj","testare gratuită",
"hpg_ph_banner_top_3","inkl. groupware & crm","Groupware & crm inclusive","včetně groupware & crm",,"inkl. groupware & crm ","incl. groupware & crm",
"hpg_ph_commen_page_title","Groupware, WebOrganizer, Mobiles Büro & mehr","Groupware, WebOrganizer, mobile office & more","Produkty, WebOrganizer, mobilní kancelář a více","Produkty, WebOrganizer, mobilní kancelár a více","Towar grupowy, WebOrganizer, mobilne biuro & wiecęj","Groupware, Organizator web, Biroul mobil şi multe altele",
"hpg_ph_common_terms_and_conditions","Unsere Geschäftsbedingungen","Our terms and conditions","naše obchodní podmínky","naše obchodní podmínky","Nasze warunki handlowe","Condiţiile şi acordurile noastre",
"hpg_ph_contact_by_email_sales","Sales & Consulting:","Sales & consulting","prodej a poradenství","prodej a poradenství","Sales & Consulting:","Vânzări & Consultanţă",
